
Error results for GA
Iteration 0000: 0.077 0.080
Iteration 0001: 0.113 0.114
Iteration 0002: 0.089 0.093
Iteration 0003: 0.073 0.079
Iteration 0004: 0.095 0.097
Iteration 0005: 0.108 0.109
Iteration 0006: 0.115 0.114
Iteration 0007: 0.098 0.098
Iteration 0008: 0.102 0.103
Iteration 0009: 0.074 0.079
Iteration 0010: 0.079 0.083
Iteration 0011: 0.101 0.102
Iteration 0012: 0.184 0.180
Iteration 0013: 0.073 0.078
Iteration 0014: 0.077 0.080
Iteration 0015: 0.098 0.100
Iteration 0016: 0.076 0.083
Iteration 0017: 0.074 0.078
Iteration 0018: 0.073 0.077
Iteration 0019: 0.078 0.081
Iteration 0020: 0.079 0.082
Iteration 0021: 0.088 0.090
Iteration 0022: 0.159 0.158
Iteration 0023: 0.099 0.101
Iteration 0024: 0.087 0.089
Iteration 0025: 0.091 0.093
Iteration 0026: 0.073 0.078
Iteration 0027: 0.089 0.091
Iteration 0028: 0.085 0.088
Iteration 0029: 0.085 0.088
Iteration 0030: 0.073 0.078
Iteration 0031: 0.077 0.080
Iteration 0032: 0.078 0.081
Iteration 0033: 0.085 0.088
Iteration 0034: 0.081 0.084
Iteration 0035: 0.072 0.078
Iteration 0036: 0.119 0.118
Iteration 0037: 0.075 0.079
Iteration 0038: 0.079 0.082
Iteration 0039: 0.104 0.106
Iteration 0040: 0.076 0.082
Iteration 0041: 0.073 0.079
Iteration 0042: 0.073 0.078
Iteration 0043: 0.074 0.078
Iteration 0044: 0.074 0.078
Iteration 0045: 0.072 0.077
Iteration 0046: 0.098 0.099
Iteration 0047: 0.073 0.078
Iteration 0048: 0.094 0.096
Iteration 0049: 0.072 0.077
Iteration 0050: 0.072 0.078
Iteration 0051: 0.076 0.080
Iteration 0052: 0.113 0.113
Iteration 0053: 0.074 0.080
Iteration 0054: 0.078 0.082
Iteration 0055: 0.072 0.078
Iteration 0056: 0.072 0.078
Iteration 0057: 0.073 0.078
Iteration 0058: 0.075 0.081
Iteration 0059: 0.073 0.077
Iteration 0060: 0.075 0.082
Iteration 0061: 0.074 0.077
Iteration 0062: 0.075 0.078
Iteration 0063: 0.077 0.083
Iteration 0064: 0.073 0.077
Iteration 0065: 0.073 0.079
Iteration 0066: 0.073 0.078
Iteration 0067: 0.072 0.077
Iteration 0068: 0.079 0.086
Iteration 0069: 0.077 0.083
Iteration 0070: 0.074 0.080
Iteration 0071: 0.074 0.078
Iteration 0072: 0.073 0.079
Iteration 0073: 0.073 0.080
Iteration 0074: 0.074 0.079
Iteration 0075: 0.075 0.082
Iteration 0076: 0.075 0.079
Iteration 0077: 0.075 0.081
Iteration 0078: 0.073 0.077
Iteration 0079: 0.073 0.078
Iteration 0080: 0.079 0.082
Iteration 0081: 0.072 0.077
Iteration 0082: 0.074 0.080
Iteration 0083: 0.076 0.080
Iteration 0084: 0.077 0.080
Iteration 0085: 0.086 0.088
Iteration 0086: 0.075 0.079
Iteration 0087: 0.074 0.080
Iteration 0088: 0.075 0.079
Iteration 0089: 0.072 0.077
Iteration 0090: 0.073 0.079
Iteration 0091: 0.073 0.078
Iteration 0092: 0.081 0.084
Iteration 0093: 0.077 0.081
Iteration 0094: 0.072 0.076
Iteration 0095: 0.074 0.078
Iteration 0096: 0.074 0.078
Iteration 0097: 0.073 0.077
Iteration 0098: 0.072 0.077
Iteration 0099: 0.079 0.082
Iteration 0100: 0.072 0.077
Iteration 0101: 0.073 0.078
Iteration 0102: 0.079 0.082
Iteration 0103: 0.078 0.081
Iteration 0104: 0.079 0.083
Iteration 0105: 0.079 0.082
Iteration 0106: 0.074 0.079
Iteration 0107: 0.074 0.078
Iteration 0108: 0.076 0.080
