Linear separator

0.087 0.088
0.080 0.081
0.101 0.101
0.087 0.087
0.090 0.091
0.083 0.084
0.083 0.084
0.090 0.092
0.079 0.080
0.076 0.078
0.079 0.080
0.079 0.080
0.078 0.079
0.081 0.082
0.075 0.077
0.082 0.082
0.077 0.079
0.076 0.077
0.076 0.077
0.074 0.075
0.074 0.075
0.074 0.076
0.074 0.076
0.077 0.078
0.080 0.081
0.076 0.077
0.075 0.076
0.076 0.077
0.075 0.076
0.074 0.075
0.077 0.077
0.075 0.076
0.078 0.079
0.076 0.077
0.075 0.076
0.075 0.076
0.075 0.076
0.075 0.077
0.076 0.077
0.076 0.076
0.077 0.078
0.076 0.076
0.074 0.075
0.074 0.075
0.074 0.076
0.074 0.076
0.074 0.075
0.074 0.075
0.074 0.076
0.075 0.076
0.074 0.076
0.074 0.076
0.074 0.075
0.075 0.076
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.076
0.075 0.076
0.075 0.076
0.074 0.076
0.074 0.075
0.074 0.076
0.074 0.076
0.074 0.075
0.074 0.076
0.074 0.075
0.074 0.075
0.076 0.077
0.074 0.075
0.074 0.076
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.075 0.076
0.074 0.075
0.074 0.076
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.076
0.074 0.076
0.074 0.075
0.074 0.075
0.076 0.077
0.074 0.075
0.075 0.076
0.075 0.077
0.074 0.076
0.074 0.076
0.074 0.075
0.074 0.076
0.075 0.076
0.074 0.076
0.074 0.075
0.074 0.075
0.074 0.075
0.076 0.077
0.074 0.075
0.074 0.076
0.074 0.076
0.074 0.076
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.076
0.074 0.076
0.074 0.075
0.074 0.075
0.074 0.076
0.074 0.076
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.076
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.076
0.075 0.076
0.074 0.075
0.075 0.077
0.074 0.075
0.074 0.075
0.073 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.075 0.076
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.075 0.076
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.075
0.074 0.076
0.074 0.075
0.074 0.075
