
Error results for SA
---------------------------
Iteration 0000: 0.131 0.131
Iteration 0001: 0.131 0.131
Iteration 0002: 0.134 0.135
Iteration 0003: 0.134 0.135
Iteration 0004: 0.134 0.134
Iteration 0005: 0.134 0.134
Iteration 0006: 0.133 0.133
Iteration 0007: 0.133 0.133
Iteration 0008: 0.133 0.133
Iteration 0009: 0.126 0.127
Iteration 0010: 0.126 0.127
Iteration 0011: 0.123 0.123
Iteration 0012: 0.125 0.125
Iteration 0013: 0.125 0.125
Iteration 0014: 0.125 0.125
Iteration 0015: 0.125 0.125
Iteration 0016: 0.126 0.126
Iteration 0017: 0.126 0.126
Iteration 0018: 0.126 0.126
Iteration 0019: 0.126 0.126
Iteration 0020: 0.126 0.126
Iteration 0021: 0.126 0.126
Iteration 0022: 0.126 0.126
Iteration 0023: 0.125 0.126
Iteration 0024: 0.127 0.128
Iteration 0025: 0.127 0.128
Iteration 0026: 0.127 0.128
Iteration 0027: 0.127 0.128
Iteration 0028: 0.127 0.128
Iteration 0029: 0.127 0.128
Iteration 0030: 0.128 0.128
Iteration 0031: 0.128 0.128
Iteration 0032: 0.128 0.128
Iteration 0033: 0.128 0.128
Iteration 0034: 0.128 0.128
Iteration 0035: 0.128 0.128
Iteration 0036: 0.130 0.130
Iteration 0037: 0.131 0.132
Iteration 0038: 0.131 0.132
Iteration 0039: 0.131 0.132
Iteration 0040: 0.130 0.130
Iteration 0041: 0.130 0.130
Iteration 0042: 0.129 0.130
Iteration 0043: 0.130 0.130
Iteration 0044: 0.125 0.125
Iteration 0045: 0.125 0.125
Iteration 0046: 0.125 0.125
Iteration 0047: 0.124 0.125
Iteration 0048: 0.124 0.125
Iteration 0049: 0.127 0.127
Iteration 0050: 0.127 0.127
Iteration 0051: 0.128 0.128
Iteration 0052: 0.127 0.127
Iteration 0053: 0.127 0.127
Iteration 0054: 0.126 0.127
Iteration 0055: 0.126 0.126
Iteration 0056: 0.126 0.126
Iteration 0057: 0.126 0.126
Iteration 0058: 0.126 0.127
Iteration 0059: 0.126 0.127
Iteration 0060: 0.126 0.127
Iteration 0061: 0.128 0.129
Iteration 0062: 0.128 0.129
Iteration 0063: 0.128 0.129
Iteration 0064: 0.128 0.129
Iteration 0065: 0.128 0.129
Iteration 0066: 0.128 0.129
Iteration 0067: 0.128 0.129
Iteration 0068: 0.128 0.129
Iteration 0069: 0.128 0.129
Iteration 0070: 0.128 0.128
Iteration 0071: 0.128 0.128
Iteration 0072: 0.128 0.128
Iteration 0073: 0.128 0.128
Iteration 0074: 0.128 0.128
Iteration 0075: 0.128 0.128
Iteration 0076: 0.128 0.128
Iteration 0077: 0.129 0.129
Iteration 0078: 0.129 0.129
Iteration 0079: 0.129 0.129
Iteration 0080: 0.129 0.129
Iteration 0081: 0.126 0.126
Iteration 0082: 0.126 0.126
Iteration 0083: 0.126 0.126
Iteration 0084: 0.124 0.124
Iteration 0085: 0.124 0.124
Iteration 0086: 0.124 0.125
Iteration 0087: 0.124 0.125
Iteration 0088: 0.124 0.125
Iteration 0089: 0.124 0.125
Iteration 0090: 0.124 0.125
Iteration 0091: 0.128 0.128
Iteration 0092: 0.128 0.128
Iteration 0093: 0.128 0.128
Iteration 0094: 0.128 0.128
Iteration 0095: 0.128 0.128
Iteration 0096: 0.128 0.128
Iteration 0097: 0.128 0.128
Iteration 0098: 0.128 0.128
Iteration 0099: 0.128 0.128
Iteration 0100: 0.131 0.131
Iteration 0101: 0.131 0.132
Iteration 0102: 0.131 0.132
Iteration 0103: 0.129 0.129
Iteration 0104: 0.129 0.129
Iteration 0105: 0.129 0.130
Iteration 0106: 0.129 0.130
Iteration 0107: 0.129 0.130
Iteration 0108: 0.129 0.130
Iteration 0109: 0.128 0.128
Iteration 0110: 0.128 0.128
Iteration 0111: 0.129 0.129
Iteration 0112: 0.129 0.129
Iteration 0113: 0.129 0.129
Iteration 0114: 0.127 0.127
